pincode,latitude,longitude,place_name
600001,13.0816,80.2752,George Town
600005,13.064,80.2806,Triplicane
600013,13.1138,80.2945,Royapuram
600021,13.1148,80.2872,Washermanpet
600011,13.1123,80.2379,Perambur
600008,13.0744,80.2565,Egmore
600031,13.0732,80.2408,Chetpet
600040,13.0849,80.2102,Anna Nagar
600024,13.0532,80.2231,Kodambakkam
600017,13.0413,80.2339,T. Nagar
600004,13.0369,80.2676,Mylapore
600020,13.0038,80.2569,Adyar
600032,13.0067,80.2206,Guindy
600045,12.9307,80.1119,Tambaram
600042,12.9755,80.2206,Velachery
600044,12.9611,80.1372,Chromepet
600043,12.9631,80.1657,Pallavaram
600116,13.0367,80.1777,Porur
600053,13.1143,80.1545,Ambattur
600019,13.1638,80.2984,Thiruvottiyur
600060,13.1556,80.2247,Madhavaram
600056,13.0694,80.1948,Koyambedu
600015,13.0213,80.2231,Saidapet
600034,13.0592,80.2425,Nungambakkam
600083,13.036,80.2123,Ashok Nagar
600037,13.0836,80.1731,Mogappair
600071,13.1043,80.1038,Avadi
600050,13.0911,80.1832,Padi
600010,13.0857,80.2452,Kilpauk
600016,13.0021,80.2005,Alandur
600119,12.9076,80.0954,Sholinganallur
600100,12.9171,80.1941,Medavakkam
600069,13.0013,80.0926,Kundrathur
600056,13.045,80.1157,Poonamallee
600044,12.9611,80.1372,Thiruneermalai
600130,12.9076,80.0954,Navalur
600057,13.2032,80.3164,Ennore
601206,13.2789,80.2623,Minjur
600077,13.0733,80.1232,Thiruverkadu
600091,12.9617,80.1994,Madipakkam
600073,12.9155,80.1521,Selaiyur
600075,12.9749,80.1266,Pammal
600097,13.0225,80.2032,Ekkatuthangal
